UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	73
0	65
0	77
0	77
0	0
2	68
0	37
0	0
0	52
0	72
14	106
0	38
0	27
0	52
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	22
1	22
0	22
162	340
0	253
0	94
0	92
0	207
47	111
0	130
0	19
1	96
0	204
0	184
0	46
0	0
0	130
10	2
0	14
0	26
0	10
6	37
0	30
2	65
0	25
0	27
0	63
0	63
0	0
0	5
0	0
0	4
0	0
1	0
0	53
0	25
4	34
54	44
0	34
0	16
0	13
0	42
0	1
6	1
0	0
0	0
0	0
0	0
0	0
3	11
0	6
0	11
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
143	85
0	37
0	32
0	8
4	29
0	11
0	34
0	22
0	2
0	37
0	60
37	146
0	123
0	2
0	14
0	7
0	11
1	5
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
15	8
0	5
1	1
1	26
0	0
0	4
0	10
0	11
0	1
0	12
0	17
0	16
0	16
0	16
0	18
0	16
0	2
0	7
0	2
0	2
0	9
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	54
0	24
0	14
0	2
0	13
0	36
0	0
0	33
0	31
0	33
0	6
0	4
0	4
0	7
0	6
0	16
1	5
0	4
0	4
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	27
0	2
0	27
0	13
0	4
0	3
0	13
0	14
0	14
0	13
0	3
0	3
0	3
0	3
0	3
0	2
0	2
0	14
0	13
0	14
31	35
0	31
0	26
0	35
0	35
0	0
0	0
24	15
0	0
2	12
0	3
0	1
0	6
0	7
0	0
0	15
1	24
0	22
1	11
0	15
0	56
1	52
0	56
0	15
2	8
0	0
1	6
0	1
2	55
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	31
2	31
0	1
0	1
0	0
0	5
0	9
2	9
0	9
0	2
0	1
0	8
46	17
0	17
0	0
0	17
0	18
0	8
0	9
0	7
0	17
0	6
2	16
0	2
0	16
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
6	0
0	0
10	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	27
0	49
0	49
0	0
0	49
2	7
0	32
0	1
0	1
0	1
0	1
0	2
0	70
0	20
0	30
0	18
0	1
0	6
0	9
0	30
0	9
0	67
45	7
0	6
0	2
0	3
0	2
